Date,Price,NAV
31.07.2008,14748.17,2207631234.0
01.08.2008,14752.19,2173441034.06
04.08.2008,14758.71,2131701983.84
05.08.2008,14752.48,2136104311.35
06.08.2008,14746.06,2138844496.17
07.08.2008,14746.97,2131373090.99
08.08.2008,14750.06,2130369873.73
11.08.2008,14733.62,2105630995.0
12.08.2008,14738.9,2109432531.37
13.08.2008,14741.61,2111808505.85
14.08.2008,14746.8,2098616352.08
15.08.2008,14696.67,2078588533.88
18.08.2008,14718.16,2068053143.16
19.08.2008,14720.13,2088854617.84
20.08.2008,14753.07,2090542161.08
21.08.2008,14731.8,2088749347.4
22.08.2008,14731.84,2074152121.82
25.08.2008,14741.36,2067019939.32
26.08.2008,14737.25,2070379465.12
27.08.2008,14739.67,2043592776.46
28.08.2008,14733.47,2050475912.65
29.08.2008,14744.53,2075701014.26
01.09.2008,14757.58,2065603323.16
02.09.2008,14728.7,2059989307.96
03.09.2008,14720.76,2039831004.88
04.09.2008,14714.15,2030299138.76
05.09.2008,14713.49,2011378299.57
08.09.2008,14712.42,2007457356.87
09.09.2008,14737.77,2019037035.02
10.09.2008,14691.27,2018066459.82
11.09.2008,14696.37,2009849533.61
12.09.2008,14678.69,1987921250.3
15.09.2008,14638.99,1976327559.23
16.09.2008,14618.81,1974366551.54
17.09.2008,14649.3,1972569523.54
18.09.2008,14648.21,1932289058.72
19.09.2008,14541.84,1898727739.16
22.09.2008,14472.79,1825984024.26
23.09.2008,14128.21,1778299947.08
24.09.2008,14083.29,1741835222.69
25.09.2008,13952.06,1745064982.77
26.09.2008,14034.15,1737676527.81
29.09.2008,13633.24,1586306616.46
30.09.2008,13979.27,1606524881.92
01.10.2008,13240.28,1511862879.22
02.10.2008,13439.02,1496819356.4
03.10.2008,12892.09,1406208340.93
06.10.2008,13208.32,1410722276.56
07.10.2008,13098.03,1398460982.0
08.10.2008,12535.6,1314308424.45
09.10.2008,12932.46,1316929623.52
10.10.2008,12940.95,1300442209.53
13.10.2008,12988.05,1226617963.72
14.10.2008,12122.81,1136699471.49
15.10.2008,12175.7,1147703728.05
16.10.2008,12269.66,1148439281.89
17.10.2008,11910.92,1108215938.64
20.10.2008,11967.67,1083440120.14
21.10.2008,12134.14,1097059393.14
22.10.2008,11934.32,1065862163.46
23.10.2008,11364.61,1009932165.46
24.10.2008,10882.27,952259752.02
27.10.2008,10807.51,919115603.02
28.10.2008,10493.48,890791914.43
29.10.2008,10605.74,893259587.45
30.10.2008,10818.53,898431506.68
31.10.2008,11015.87,910583921.5
01.11.2008,10986.81,901375255.67
05.11.2008,10879.47,880971269.8
06.11.2008,10718.84,869086784.93
07.11.2008,10780.2,868916028.09
10.11.2008,10949.38,868277426.0
11.11.2008,10775.54,856482037.79
12.11.2008,10933.05,885783474.15
13.11.2008,10928.63,878754416.21
14.11.2008,11035.73,885475332.85
17.11.2008,10879.24,862125962.03
18.11.2008,10719.82,848847049.52
19.11.2008,10827.78,855635043.7
20.11.2008,10893.7,858210032.32
21.11.2008,10582.23,828600426.06
24.11.2008,10502.7,809204478.29
25.11.2008,10504.08,790274183.04
26.11.2008,10552.46,794294883.59
27.11.2008,10673.13,801309546.74
28.11.2008,10474.13,776591108.7
01.12.2008,10270.54,756151835.05
02.12.2008,10280.44,756335430.14
03.12.2008,10327.21,746925961.5
04.12.2008,10613.68,766095230.39
05.12.2008,10500.4,752986136.13
08.12.2008,10346.66,737711851.37
09.12.2008,10629.03,756688295.44
10.12.2008,10507.19,748109568.14
11.12.2008,10403.64,739728547.21
12.12.2008,10373.7,736995444.76
15.12.2008,10371.11,729230151.86
16.12.2008,10199.98,717040295.49
17.12.2008,10272.37,717056653.7
18.12.2008,10360.37,707930686.48
19.12.2008,9404.03,640923922.38
22.12.2008,9547.46,665891149.97
23.12.2008,9619.71,669939228.48
24.12.2008,9879.28,683278987.33
25.12.2008,9899.53,683526667.63
26.12.2008,9881.58,681881229.85
29.12.2008,9398.6,646061206.19
30.12.2008,9405.79,647099311.01
31.12.2008,9726.63,671873145.06
11.01.2009,9790.43,668633456.55
12.01.2009,9646.99,659478840.69
13.01.2009,9644.97,658731669.02
14.01.2009,9652.29,658815999.16
15.01.2009,9627.4,657042944.13
16.01.2009,9610.12,633454298.91
19.01.2009,9669.46,628640331.01
20.01.2009,9537.01,619252636.37
21.01.2009,9646.19,627064354.23
22.01.2009,9599.77,619719550.82
23.01.2009,9637.83,620692558.56
26.01.2009,9667.19,621591876.88
27.01.2009,9676.81,621027115.86
28.01.2009,9704.64,637958861.57
29.01.2009,9525.15,625179544.74
30.01.2009,9840.0,638699311.43
02.02.2009,9837.82,631068674.62
03.02.2009,9955.1,638009547.91
04.02.2009,9872.47,605889776.08
05.02.2009,9662.2,581830045.94
06.02.2009,9674.76,582677022.98
09.02.2009,9723.66,584157355.56
10.02.2009,9743.41,585510288.32
11.02.2009,9592.61,572896485.82
12.02.2009,9758.07,575604120.55
13.02.2009,9656.47,570308852.04
16.02.2009,9669.12,560896092.35
17.02.2009,9646.21,561189310.15
18.02.2009,9634.18,560027716.0
19.02.2009,9611.37,557776187.34
20.02.2009,9737.12,565634881.24
24.02.2009,9673.06,561358123.23
25.02.2009,9700.34,560218649.79
26.02.2009,9814.01,564380125.96
27.02.2009,10045.75,577256721.09
02.03.2009,10019.58,573144193.59
03.03.2009,9970.61,570397027.02
04.03.2009,9995.59,575372547.43
05.03.2009,10046.05,579396243.08
06.03.2009,10118.22,581275853.82
10.03.2009,10301.44,591135208.73
11.03.2009,10280.8,591155540.14
12.03.2009,10306.64,589227973.44
13.03.2009,10291.54,588731916.8
16.03.2009,10256.54,585369301.18
17.03.2009,10303.38,588528377.56
18.03.2009,10588.81,608531805.24
19.03.2009,10651.08,612751884.62
20.03.2009,10913.18,629112547.08
23.03.2009,11005.69,636795758.42
24.03.2009,11221.84,651045376.12
25.03.2009,11211.66,653961531.73
26.03.2009,11408.73,665581195.31
27.03.2009,11435.78,675159206.47
30.03.2009,11606.58,690285596.82
31.03.2009,11607.58,696664463.46
01.04.2009,11657.38,720334057.39
02.04.2009,11721.73,730161133.76
03.04.2009,11777.69,734273689.59
06.04.2009,11731.21,728730053.78
07.04.2009,11743.77,729917641.05
08.04.2009,11587.14,723695976.32
09.04.2009,11657.45,729998360.98
10.04.2009,11585.58,729185722.27
13.04.2009,11689.51,733194119.01
14.04.2009,11711.01,736075278.76
15.04.2009,11713.51,737729316.66
16.04.2009,11767.77,740835606.54
17.04.2009,11752.37,741695873.05
20.04.2009,11875.66,747400016.38
21.04.2009,11875.47,747376372.34
22.04.2009,11880.31,748071482.39
23.04.2009,11921.79,748078998.1
24.04.2009,11926.96,752121992.24
27.04.2009,11897.9,746634091.15
28.04.2009,11852.31,744496557.81
29.04.2009,11912.72,752877271.07
30.04.2009,12215.05,775480586.03
04.05.2009,12010.99,771152366.09
05.05.2009,11987.03,772311727.66
06.05.2009,11975.16,769596957.66
07.05.2009,11996.83,767439276.57
08.05.2009,12017.19,776255767.78
12.05.2009,12085.09,780579388.97
13.05.2009,12095.93,781908736.67
14.05.2009,12119.96,780582076.33
15.05.2009,12202.56,801721272.83
18.05.2009,12185.34,804689585.98
19.05.2009,12255.67,811862620.04
20.05.2009,12247.68,811538272.15
21.05.2009,12228.99,804022549.08
22.05.2009,12259.43,802100127.53
25.05.2009,12248.82,808402224.95
26.05.2009,12260.17,805421186.17
27.05.2009,12306.71,804453436.26
28.05.2009,12258.91,798919451.13
29.05.2009,12295.07,806303982.7
01.06.2009,12358.17,809848013.87
02.06.2009,12360.43,809774992.61
03.06.2009,12430.64,814502470.66
04.06.2009,12497.99,826496545.15
05.06.2009,12566.12,840168893.8
08.06.2009,12571.68,837505704.95
09.06.2009,12596.82,835311869.33
10.06.2009,12579.53,841298192.99
11.06.2009,12592.22,848071647.53
15.06.2009,12624.39,855373351.36
16.06.2009,12709.86,863188843.61
17.06.2009,12760.29,862104498.39
18.06.2009,12717.42,860663518.65
19.06.2009,12561.17,850507313.24
22.06.2009,12523.8,855504305.05
23.06.2009,12470.77,852946242.51
24.06.2009,12508.7,869195681.72
